Fecha (mes y año),Alcalinidad,Conductividad,DBO,DQO,Dureza,Fenoles,N-Amoniacal,Cloruros,N-Nitrato,P-Fosfato,Oxígeno disuelto,pH,Sólidos suspendidos totales,SAAM-Detergentes,Turbidez,Coliformes totales,Escherichia Coli,Norte (Y),Este(X) ,Caudal,Temperatura agua,Temperatura aire
1/03/2016,14,"46,3",23,"42,8","14,25",#N/A,#N/A,"4,28",#N/A,#N/A,"4,64","6,73","15,7",#N/A,"11,8","2,4",25000,1069171,1053729,"69,5","14,6","17,5"
1/03/2016,"26,5","89,2",17,"41,8","20,08",#N/A,"2,553","6,85","0,133",#N/A,"3,18","6,62","12,7",#N/A,"9,32",1600000,170000,1068407,1053092,"79,8","15,8","20,3"
1/03/2016,"26,5",111,"49,6",71,"13,82",#N/A,"1,289","10,49","0,124",#N/A,"5,83","7,5","44,3",#N/A,"30,9","2,4",980000,1068375,1053022,"101,5","16,1",22
1/03/2016,"62,5",472,"34,1","75,5","59,79",#N/A,"3,839",875,"0,128",#N/A,"3,50","9,31","24,2",#N/A,"8,32",1400000,150000,1066213,1051396,"252,4","16,7","20,4"
1/03/2016,74,484,"23,4","58,3","56,41",#N/A,"13,886","60,56","0,152",#N/A,1,"7,20",34,#N/A,"19,3",290000,39000,1063649,1048123,"204,4","19,3",21
1/03/2016,"26,7","86,7","12,7","36,3","8,53",#N/A,"2,661","5,82","0,357",#N/A,"1,5","6,4","26,2",#N/A,"18,5",1000000,310000,1061545,1044701,31,"16,8","15,3"
1/03/2016,160,1164,158,320,"116,67",#N/A,"16,192",210,"0,362",#N/A,"0,52","7,5",60,#N/A,"19,5",190000,"1,0",1061579,1044147,"140,6","17,4","17,2"
1/03/2016,206,678,"73,8",273,"60,28","0,136","17,337","64,83","0,357",#N/A,"5,2","8,5",144,#N/A,"86,2",87000,31000,1060585,1042259,"6,4","20,1","17,6"
1/03/2016,112,762,"17,4","66,5","78,19",#N/A,"10,989",127,"0,392",#N/A,"3,45","6,9","31,4",#N/A,"14,5",250000,72000,1060054,1041940,302,"19,1","18,8"
1/03/2016,105,634,"8,2","35,9","77,18",#N/A,"11,842","96,17","0,396",#N/A,"3,3","7,6",16,#N/A,"10,1",2300,410,1056726,1041150,"304,6","19,1","18,1"
1/03/2016,"9,1","28,2",#N/A,"24,1","8,2",#N/A,#N/A,"3,57",#N/A,#N/A,"6,3","7,9",8,#N/A,"5,7",370,4,1055236,1039047,3310,"15,9","18,5"
1/03/2016,"11,9","89,7","3,6","22,4","16,98",#N/A,#N/A,14,"0,937",#N/A,"4,1","6,7","6,5",#N/A,"8,06",9200,1500,1056377,1035917,#N/A,"17,5","17,3"
1/03/2016,"9,8","97,9","2,5",29,"14,91",#N/A,#N/A,"14,06","1,567",#N/A,"7,5","6,5","6,5",#N/A,"7,69",16000,990,1055056,1031591,#N/A,"17,4","20,6"
1/03/2016,302,1007,"72,8",458,"96,45","0,063",3,"81,85","0,783",#N/A,"0,6","7,6",210,#N/A,145,2800000,360000,1054454,1031355,#N/A,18,"21,9"
1/03/2016,"9,6","96,1",2,"23,8","17,06",#N/A,#N/A,"13,85","1,498",#N/A,"5,8","6,9","10,6",#N/A,"9,51",17000,1400,1054908,1031064,#N/A,"16,6","22,1"
1/03/2016,11,"45,7",#N/A,"17,6","13,22",#N/A,#N/A,"4,88","0,711",#N/A,"5,9","6,9","6,3",#N/A,"9,78",390,10,1050792,1030410,#N/A,"17,8","18,3"
1/03/2016,"9,9","55,6",#N/A,"17,4","15,57",#N/A,#N/A,"6,97","0,733",#N/A,"5,6","6,9","13,5",#N/A,"11,6",9800,560,1050912,1028019,#N/A,"17,9","20,1"
1/03/2016,"9,8","49,2","2,1","22,8","16,44",#N/A,#N/A,"5,49","0,818",#N/A,"5,3","5,6",25,#N/A,"15,3","2,4",620,1049027,1025190,16962,"19,3","21,2"
1/03/2016,346,1162,"40,7",203,"98,64",#N/A,"43,628",110,"1,056",#N/A,"2,3",8,127,#N/A,72,74000,14000,1043839,1021962,"10,5","22,1","23,2"
1/03/2016,"13,3","57,1","2,2","24,7","13,19",#N/A,#N/A,"6,57","0,858",#N/A,"5,3","6,1",22,#N/A,22,"2,4",1400,1043552,1021344,14087,19,"23,4"
1/03/2016,"11,5","52,9","2,5","19,9","15,12",#N/A,#N/A,"6,56","0,88",#N/A,"5,4","6,9","59,2",#N/A,"46,2","2,4",860,1041499,1017904,14575,20,"22,4"
1/03/2016,"16,5","69,5","3,3","19,7","71,13",#N/A,"0,803","7,12","0,893",#N/A,"4,1","6,5",68,#N/A,40,190000,17000,1042129,1014846,20059,"17,1","15,3"
1/03/2016,"13,5",169,"4,2",#N/A,"83,25",#N/A,#N/A,"7,59","0,615",#N/A,"4,4","5,8","66,4",#N/A,"85,9",6300,1000,1042314,1014796,"397,5","18,9","15,8"
1/03/2016,"15,5","71,3","3,5","21,3","69,54",#N/A,#N/A,"6,82","0,785",#N/A,"3,4","6,7","7,8",#N/A,28,130000,4100,1041716,1012469,18256,"21,8","16,1"
1/03/2016,"14,2","67,4",#N/A,"12,7","41,41",#N/A,#N/A,"7,70","0,139",#N/A,"5,5","6,2","30,5",#N/A,"6,23",520,20,1059091,1012168,11,"14,7","16,8"
1/03/2016,"35,9",181,"4,3","38,4","83,89",#N/A,"1,072","14,43","0,74",#N/A,1,"6,3",22,#N/A,"11,7",24000,75,1051045,1017370,#N/A,"15,6","20,7"
1/03/2016,"14,7",110,"3,1","35,3","59,26",#N/A,"0,708","12,41","0,695",#N/A,"3,4","6,4","31,4",#N/A,"14,4","2,4",150,1051771,1016897,1043,"16,9","21,6"
1/03/2016,"81,8",274,"29,8","84,1",356,#N/A,"6,702","26,16","0,242",#N/A,"0,63","7,07","22,9",#N/A,"25,5",5500000,910000,1044017,1011724,"534,3","19,9","19,4"
1/03/2016,18,"78,9","2,2","28,2","82,42",#N/A,"0,904","7,08","0,639",#N/A,"5,64","6,37","55,8",#N/A,"49,9",65000,7800,1044195,1011773,12218,"19,8","18,8"
1/03/2016,236,3160,142,257,165,#N/A,"30,863","7,75","0,356",#N/A,"0,17","7,91",167,#N/A,105,29000000,9300000,1045186,1009868,"219,1","17,8",18
1/03/2016,"30,2",192,"3,9","29,3",397,#N/A,"1,428","31,88","0,687",#N/A,"1,58","6,63",30,#N/A,31,120000,29000,1039370,1008158,"11,646","19,9",18
1/03/2016,"40,3",232,4,"32,5",140,#N/A,"3,1","32,43","1,36",#N/A,"5,81","7,32",8,#N/A,"8,59",69000,15000,1019670,1013515,"342,9","17,9",21
1/03/2016,278,1158,"23,9",86,181,#N/A,"6,708",184,"0,49",#N/A,"0,57","7,54","25,6",#N/A,"26,4",410000,20000,1038747,1009150,343,20,"19,6"
1/03/2016,"25,8",151,"5,5","25,3","19,04",#N/A,"2,065","23,62","0,816",#N/A,"2,5","6,7","41,7",#N/A,"42,8",1000000,110000,1035918,1007888,10723,"20,3","22,6"
1/03/2016,378,1096,698,959,121,"0,103","59,223","76,11","0,678",#N/A,"0,58","7,7",757,#N/A,303,"2,4",17000000,1033591,1006439,"148,2","21,9","23,3"
1/03/2016,"30,9",177,"7,3","38,1","21,88",#N/A,"2,257","26,62","0,541",#N/A,"1,3","6,6","28,3",#N/A,"18,2",42000,6300,1029572,1005306,9183,21,"24,9"
1/03/2016,371,1022,175,353,"61,17",#N/A,"55,873","67,20","0,865",#N/A,"0,5","7,8",96,#N/A,130,3900000,2000000,1029206,1004241,78,"20,5","24,5"
1/03/2016,53,236,"25,1","50,2",22,#N/A,"6,237","28,82","0,452",#N/A,"0,9",7,35,#N/A,"32,5",1200000,610000,1028187,1004022,12157,21,24
1/03/2016,"35,5",189,"5,3","24,5","19,21",#N/A,"3,093","27,26","0,497",#N/A,"0,68","6,8",21,#N/A,"19,9",44000,14000,1025751,1000784,11491,"20,8","24,2"
1/03/2016,"22,7",125,#N/A,#N/A,3,#N/A,#N/A,"10,96","0,953",#N/A,2,"6,4","24,4",#N/A,"29,8",16000,1,1036484,1001018,"64,6","16,7","13,6"
1/03/2016,274,821,364,637,3,"0,123",3,"50,94","0,749",#N/A,2,"7,3",413,#N/A,127,"2,4",24000000,1028315,1000903,"7,7","20,4","19,4"
1/03/2016,"37,8",246,"15,6","48,6",3,#N/A,3,"28,16","0,344",#N/A,2,"6,9","31,7",#N/A,"35,2",2000000,550000,1026359,999403,#N/A,"19,9","23,1"
1/03/2016,"39,5",210,4,"27,3",3,#N/A,"3,457","28,04","0,298",#N/A,2,"6,8","22,5",#N/A,22,62000,18000,1022479,997985,10344,"20,4","21,4"
