"rid","fromnode","tonode"
1,1,2
2,2,3
3,4,2
4,5,6
5,7,8
6,9,8
7,10,11
8,8,11
9,12,6
10,13,12
11,14,13
12,15,13
13,11,16
14,17,11
15,18,16
16,19,18
17,16,20
18,21,18
19,22,23
20,20,23
21,24,20
22,25,12
23,23,26
24,27,26
25,28,29
26,26,29
27,30,31
28,29,31
29,32,33
30,34,33
31,35,36
32,31,36
33,37,38
34,39,38
35,40,31
36,41,42
37,38,42
38,33,43
39,44,45
40,36,46
41,47,46
42,48,45
43,46,48
44,49,50
45,45,50
46,51,52
47,53,48
48,54,53
49,55,52
50,52,56
51,42,57
52,50,58
53,59,58
54,58,60
55,61,53
56,62,63
57,60,63
58,64,65
59,66,60
60,67,68
61,68,61
62,69,66
63,70,61
64,63,71
65,72,68
66,73,74
67,75,71
68,76,74
69,77,66
70,78,72
71,79,72
72,74,80
73,81,80
74,82,83
75,84,83
76,85,77
77,86,79
78,87,86
79,88,89
80,90,89
81,80,91
82,71,92
83,93,92
84,89,94
85,91,94
86,95,77
87,96,79
88,83,97
89,98,97
90,99,95
91,100,96
92,101,102
93,92,102
94,103,95
95,104,103
96,105,86
97,106,107
98,108,109
99,102,109
100,107,91
101,109,107
102,110,111
103,111,96
104,112,111
105,113,103
106,114,115
107,94,115
108,115,116
109,117,118
110,119,118
111,120,116
112,121,120
113,118,121
114,122,123
115,116,123
116,124,121
117,125,126
118,97,126
119,127,120
120,128,127
121,126,129
122,123,129
123,129,130
124,131,130
125,130,132
126,133,132
127,134,127
128,132,135
129,136,137
130,135,137
131,138,134
132,139,134
133,140,135
134,141,142
135,143,144
136,145,144
137,144,146
138,137,146
139,146,147
140,148,147
141,149,150
142,151,150
143,152,153
144,154,153
145,147,155
146,150,156
147,157,156
148,153,158
149,155,158
150,159,160
151,161,160
152,162,155
153,156,163
154,158,163
155,164,165
156,160,165
157,166,167
158,168,163
159,169,170
160,167,170
161,165,171
162,172,171
163,173,174
164,175,171
165,176,177
166,178,177
167,179,180
168,171,180
169,181,182
170,170,183
171,184,183
172,185,186
173,180,186
174,187,188
175,163,188
176,186,189
177,183,190
178,188,190
179,191,182
180,192,189
181,190,193
182,194,193
183,182,194
184,195,196
185,177,197
186,198,197
187,199,198
188,200,199
189,189,201
190,202,196
191,197,202
192,203,202
193,204,199
194,205,204
195,206,207
196,193,207
197,208,209
198,201,209
199,210,211
200,196,211
201,212,201
202,211,213
203,214,204
204,215,214
205,216,217
206,207,217
207,218,207
208,219,220
209,221,220
210,213,222
211,223,222
212,224,214
213,225,224
214,226,198
215,227,224
216,217,228
217,209,229
218,222,230
219,231,229
220,229,232
221,233,213
222,234,224
223,220,235
224,232,235
225,236,232
226,237,234
227,238,218
228,239,230
229,240,228
230,235,241
231,242,243
232,241,243
233,244,241
234,245,246
235,243,246
236,247,234
237,248,247
238,228,248
239,249,248
240,246,250
241,251,250
242,230,251
243,252,247
244,253,218
245,254,251
246,255,254
247,256,257
248,258,259
249,260,257
250,259,260
251,261,262
252,263,261
253,264,263
254,257,265
255,266,259
256,267,263
257,268,269
258,270,269
259,271,254
260,265,271
261,250,272
262,269,273
263,272,273
264,274,272
265,275,274
266,276,261
267,277,271
268,278,279
269,273,279
270,279,280
271,281,282
272,280,282
273,282,283
274,284,280
275,285,286
276,287,286
277,283,288
278,289,274
279,286,290
280,288,290
281,291,288
282,292,289
283,293,283
284,294,289
285,295,296
286,297,296
287,298,299
288,290,299
289,300,289
290,299,301
291,302,301
292,303,304
293,305,293
294,306,307
295,304,307
296,301,304
297,308,293
298,309,310
299,307,310
300,311,312
301,310,312
302,313,314
303,315,316
304,316,314
305,317,318
306,312,318
307,319,316
308,320,321
309,322,321
310,323,322
311,318,324
312,321,324
313,325,322
314,324,326
315,327,328
316,329,330
317,326,330
318,331,319
319,332,333
320,334,326
321,335,334
322,336,331
323,330,337
324,338,334
325,339,336
326,337,333
327,340,341
328,333,341
329,328,342
330,341,343
331,342,344
332,345,337
333,343,336
334,346,347
335,344,347
336,348,345
337,349,348
338,347,349
339,350,345
340,351,348
