"pointid","xcoord","ycoord"
1,1056388.41793619,1085684.41132309
2,1058242.60097608,1077622.22899719
3,1063782.2100154,1080852.66725574
4,1057783.22860065,1074626.74171196
5,1051772.62268316,1082455.25873742
6,1041617.24554162,1073923.95805634
7,1054549.92250642,1074624.11502212
8,1054550.83050493,1073472.16017716
9,1056629.98203346,1072782.65345422
10,1051318.33706776,1072317.73992172
11,1053629.50595846,1070245.97129685
12,1039772.29443127,1069315.13453226
13,1040234.22172958,1069315.39935902
14,1040927.11307279,1069315.80233325
15,1040927.51823045,1068624.6414632
16,1053168.98211081,1068402.49533855
17,1059405.00728102,1068637.91010855
18,1055480.14816291,1066561.16408118
19,1056173.07939153,1066561.71581796
20,1051322.91138695,1066097.21850122
21,1055019.09741468,1065408.84715375
22,1047856.68591936,1068398.65577915
23,1049475.74495172,1065174.33563548
24,1053864.90123341,1064486.39156613
25,1033539.04976258,1063552.22783028
26,1047629.15615531,1063329.95255681
27,1048784.08328401,1063330.74214974
28,1045547.75246269,1067245.17231217
29,1046705.52066286,1062868.55849906
30,1044857.48387285,1063097.74718894
31,1044858.21567275,1061945.80975675
32,1028456.72653637,1065393.06668595
33,1025917.61966555,1061014.79242768
34,1026610.3247062,1061706.20066881
35,1040236.99982648,1064477.27946907
36,1042548.88219512,1061022.83416482
37,1060563.44738494,1064491.83793523
38,1061028.80353159,1060575.56749399
39,1062645.79452478,1060576.97868549
40,1048323.84516864,1060796.15198009
41,1058486.87371133,1061725.38136637
42,1060105.9816363,1059192.42663392
43,1023608.50523214,1058710.15251579
44,1039083.63398055,1061711.99473136
45,1037931.03132533,1057334.03808242
46,1041627.07687564,1057336.10124136
47,1043244.10112032,1057337.06415667
48,1039317.55487377,1056413.24609713
49,1031693.88017356,1057561.37551477
50,1031001.97942243,1055026.84533477
51,1048095.9675862,1056188.23325432
52,1048096.74266939,1055036.29380773
53,1040242.8743995,1054109.90200503
54,1042321.86087639,1054341.48586819
55,1045556.92801514,1052961.14685447
56,1053642.7819703,1052736.3415677
57,1059187.31632881,1052740.69501062
58,1031003.37285362,1051801.47038742
59,1034005.96837501,1053185.13330917
60,1030541.53055043,1051340.50537971
61,1040244.42287397,1051345.2730971
62,1033076.22097378,1065395.08967099
63,1027769.46711362,1050878.61677503
64,1006284.37829352,1053407.7357701
65,1010211.99382411,1050413.22887314
66,1030542.11594672,1049958.20337674
67,1037703.90376193,1049961.58777263
68,1039783.14097649,1049962.70339222
69,1030542.40810326,1049267.05257394
70,1041632.01882889,1048811.81606978
71,1024074.05112308,1048112.69653593
72,1039322.33988827,1047658.59745932
73,1011136.21973326,1049491.84024455
74,1011136.57400725,1047188.02792018
75,1024305.46681142,1046960.86116743
76,1010212.41659868,1047418.27309864
77,1028695.19723463,1046732.08034761
78,1035857.52063488,1046274.49431963
79,1039323.08859891,1046276.28645607
80,1012060.92866502,1045805.88856639
81,1014370.46458037,1049953.17412217
82,998429.837762339,1045804.90577062
83,1001433.30598576,1045344.14152262
84,1005821.84860291,1059627.99739033
85,1031237.27411246,1045120.44446216
86,1039785.66914214,1045354.99710127
87,1040478.79318789,1045355.37913302
88,1007209.22699901,1045344.48430976
89,1010212.77256029,1044884.08168877
90,1008133.14274639,1047418.01017069
91,1011599.07734093,1044423.52708922
92,1021764.86000702,1044425.85225372
93,1022457.77032212,1045117.20862949
94,1010674.98453787,1043962.62409123
95,1027772.28831718,1043506.36109988
96,1036552.02000513,1043510.22623754
97,1001433.35124161,1043040.33528485
98,1004436.92455598,1043040.45585471
99,1028465.69202674,1042815.47934645
100,1036552.36558888,1042819.07324211
101,1019916.46960928,1044655.70586603
102,1019917.03498544,1042582.2705336
103,1027310.54297728,1042584.65628029
104,1028465.78166065,1042585.09653105
105,1038863.09866097,1042359.49470154
106,1015757.75180594,1044654.68837295
107,1015296.20296663,1042120.39644558
108,1017837.22244644,1044194.40440057
109,1019455.06416976,1042121.38308268
110,1034935.57616484,1041666.36320774
111,1035628.7320711,1041666.69683736
112,1036091.62909069,1040054.23425504
113,1026849.45949868,1039819.89566976
114,1008134.04026252,1039354.68376877
115,1008827.20792461,1039354.76362526
116,1008827.26315281,1038894.00258777
117,1013448.45491353,1038664.32039812
118,1013448.58093924,1037973.17811988
119,1016452.26666408,1038434.54863961
120,1011138.1154337,1037051.27103896
121,1011600.24196566,1037051.34211026
122,1007210.13182727,1036129.26242419
123,1007903.3296448,1036129.3331629
124,1014142.02715026,1036591.02320136
125,1004899.48824357,1035898.69332233
126,1005130.63450029,1034746.80828945
127,1012525.11760584,1033365.40496391
128,1013680.3648385,1034056.74982368
129,1006517.25739434,1032443.11631617
130,1005593.01708539,1031521.52148528
131,1006286.25766687,1031521.57661687
132,1004668.86878346,1028756.90037933
133,1005362.13487375,1028756.94669525
134,1013912.68023613,1027375.76336072
135,1003282.41720317,1026913.78993461
136,1003051.06947668,1033134.03369245
137,1000047.09730396,1026452.95938606
138,1011370.86215882,1025993.05705965
139,1013912.93541173,1025993.48291724
140,1004206.97408716,1023688.52300183
141,1010908.9331912,1024149.95071846
142,1012989.01950374,1023228.7596324
143,989878.635212723,1024610.6007163
144,992189.224501996,1020463.49684022
145,993576.534490358,1027835.51102892
146,994962.532604219,1019541.74644
147,994962.441570469,1018159.47171544
148,998891.507823135,1018850.45116702
149,983175.204815312,1017930.77418419
150,984330.675425865,1017239.39015501
151,985486.777700914,1019773.33872015
152,990570.942861565,1016547.23195346
153,991264.2423826,1015856.01266896
154,989415.886084938,1020694.21081432
155,994499.968671209,1014934.1975747
156,987103.70340536,1014474.32180099
